Страна;Регион;Город;Оператор;Код;Тип (моб - 1, стационарный - 0)
MTT Global Networks;;;MTT;883140;0
MTT Global Networks;;;MTT;8831403;0
MTT Global Networks;;;MTT;88314073;0
MTT Global Networks;;;MTT;88314072;0
MTT Global Networks;;;MTT;88314071;0
Voxbone Global Networks;;;Voxbone;8835100;0
Абхазия;;;;7840;0
Абхазия;;;Aquafon;79409;1
Абхазия;;;Others;7940;1
Абхазия;;;А-Моб.;79407;1
Австралийская Антарктическая территория;;;;672;0
Австралия;;;;61;0
Австралия;;;Global Satelite Mobile;6114;1
Австралия;;;;611;1
Австралия;;;;614;1
Австралия;;;;6173;0
Австралия;;;;61870;0
Австралия;;;;61874;0
Австралия;;;;6128;0
Австралия;;;;6172;0
Австралия;;;;61873;0
Австралия;;;;61882;0
Австралия;;;;6193;0
Австралия;;;;61871;0
Австралия;;;;6194;0
Австралия;;;;6129;0
Австралия;;;;6163;0
Австралия;;;;61883;0
Австралия;;;;61261;0
Австралия;;;;6154;0
Австралия;;;;61872;0
Австралия;;;;6192;0
Австралия;;;;6152;0
Австралия;;;;6153;0
Австралия;;;;6164;0
Австралия;;;;6165;0
Австралия;;;;61881;0
Австралия;;;;61884;0
Австралия;;;;61262;0
Австралия;;;;6162;0
Австралия;;;специальные сервисы;6113;0
Австрия;;;;43;0
Австрия;;Вена;;431;0
Австрия;;;Connect One;43681;1
Австрия;;;Connect One;43699;1
Австрия;;; Mobilkom;43644;1
Австрия;;; Mobilkom;43664;1
Австрия;;; Mobilkom;43680;1
Австрия;;; Mobilkom;43688;1
Австрия;;; Mobilkom;4369988;1
Австрия;;; Mobilkom;4369989;1
Австрия;;;Others;43711;1
Австрия;;;Others;43720;1
Австрия;;;Others;43730;1
Австрия;;;Others;43740;1
Австрия;;;Others;43780;1
Австрия;;;Others;43810;1
Австрия;;;Others;43820;1
Австрия;;;Telering;43650;1
Австрия;;;T-Mobile;43676;1
Австрия;;;T-Mobile;43677;1
Австрия;;; роуминг Connect One;4369900;1
Австрия;;;роуминг Mobilkom;436640;1
Австрия;;;роуминг Telering;436500;1
Австрия;;;роуминг T-Mobile;436760;1
Австрия;;;роуминг 3G;436600;1
Австрия;;; 3G;43660;1
Австрия;;; 3G;43678;1
Австрия;;;;43661;1
Австрия;;;3G;4367833;1
Австрия;;;3G;4367890;1
Австрия;;;3G;4367891;1
Азербайджан;;;;994;0
Азербайджан;;Баку;;99412;0
Азербайджан;;;Azercell;99450;1
Азербайджан;;;Azercell;99451;1
Азербайджан;;;Azerfon;99470;1
Азербайджан;;;Azerfon;99477;1
Азербайджан;;; Backcell;99455;1
Азербайджан;;;Catel;99440;1
Азербайджан;;;Others;99444;1
Азербайджан;;;Others;9945;1
Азербайджан;;;Others;99460;1
Азербайджан;;;роуминг Azercell;994508;1
Азербайджан;;;роуминг Azerfon;9947020;1
Азербайджан;;;Azerfon;994700;1
Азербайджан;;;Bakcell;994550;1
Азербайджан;;;специальные сервисы;99488;0
Азербайджан;;;специальные сервисы;994900;0
Албания;;;;355;0
Албания;;;OLO;3554249;1
Албания;;;OLO;3554250;1
Албания;;;OLO;3554251;1
Албания;;;OLO;3554252;1
Албания;;;Интерактивное ТВ;355346;1
Албания;;;Интерактивное ТВ;355355;1
Албания;;;Интерактивное ТВ;355511;1
Албания;;;Интерактивное ТВ;355559;1
Албания;;;Eagle;35567;1
Албания;;;PLUS;35566;1
Албания;;;прочие;35568;1
Албания;;;прочие;35569;1
Албания;;;Тирана;3554;1
Албания;;;AMC;355680;1
Албания;;;специальные сервисы;35552450;0
Албания;;;специальные сервисы;35545751;0
Албания;;;специальные сервисы;35545750;0
Алжир;;;;213;0
Алжир;;;Algeria Telecom;21366;1
Алжир;;;Algeria Telecom;21369;1
Алжир;;;Orascom;21377;1
Алжир;;;Orascom;21379;1
Алжир;;;Others;2136;1
Алжир;;;Others;21396;1
Алжир;;;Others;21398;1
Алжир;;;Wataniya;2135;1
Алжир;;;Orascom;213780;1
Алжир;;;;2137;1
Алжир;;;;2139;1
Американская Самоа;;;;1684;0
Американские Виргинские острова;;;;1340;0
Ангилья;;;;1264;0
Ангола;;;;244;0
Ангола;;;;2449;1
Ангола;;;Мовисел;24491;1
Ангола;;;Юнител;24492;1
Ангола;;;Юнител;24493;1
Андорра;;;;376;0
Андорра;;;;3763;1
Андорра;;;;3764;1
Андорра;;;;3765;1
Андорра;;;;3766;1
Антигуа и Барбуда;;;;1268;0
Аргентина;;;;54;0
Аргентина;;Буэнос Айрес;;5411;0
Аргентина;;;;549;1
Армения;;;;374;0
Армения;;Ереван;;37410;0
Армения;;;ArmenTel;37491;1
Армения;;;ArmenTel;37492;1
Армения;;;ArmenTel;37499;1
Армения;;;Orange;37455;1
Армения;;;Orange;37495;1
Армения;;;Others;3749;1
Армения;;;VivaCell;37477;1
Армения;;;VivaCell;37493;1
Армения;;;VivaCell;37494;1
Армения;;;VivaCell;37498;1
Армения;;;роуминг ArmenTel;374910;1
Армения;;;роуминг ArmenTel;3749144;1
Армения;;;роуминг Orange;3749597;1
Армения;;;роуминг VivaCell;3749329;1
Армения;;;прочие;3744;1
Армения;;;прочие;3746037;1
Армения;;;внегеографические;37460;0
Аруба;;;;297;0
Аруба;;;;29756;1
Аруба;;;;29759;1
Аруба;;;;29760;1
Аруба;;;;29762;1
Аруба;;;;29766;1
Аруба;;;;29769;1
Аруба;;;;29773;1
Аруба;;;;29774;1
Аруба;;;;2979;1
Аруба;;;;29763;1
Аруба;;;;29764;1
Афганистан;;;;93;0
Афганистан;;;Afghan Telecom;9375;1
Афганистан;;;AWCC;9370;1
Афганистан;;; Etisalat;9378;1
Афганистан;;;MTN;9377;1
Афганистан;;;Others;937;1
Афганистан;;;Roshan;9379;1
Багамы;;;;1242;0
Бангладеш;;;;880;0
Бангладеш;;;;8801;1
Барбадос;;;;1246;0
Барбадос;;;;124623;1
Барбадос;;;;124624;1
Барбадос;;;;124625;1
Барбадос;;;;124626;1
Барбадос;;;;124644;1
Барбадос;;;;124645;1
Барбадос;;;;124652;1
Барбадос;;;;124653;1
Барбадос;;;;124682;1
Барбадос;;;;124683;1
Барбадос;;;;124684;1
Барбадос;;;;124685;1
Бахрейн;;;;973;0
Бахрейн;;;;973136;1
Бахрейн;;;;97333;1
Бахрейн;;;;97334;1
Бахрейн;;;;97336;1
Бахрейн;;;;973377;1
Бахрейн;;;;973383;1
Бахрейн;;;;973388;1
Бахрейн;;;;97339;1
Бахрейн;;;;973663;1
Бахрейн;;;;973666;1
Бахрейн;;;;97377;1
Беларусь;;;;375;0
Беларусь;;;IFS;375800;1
Беларусь;;;Telemalic services;375602;1
Беларусь;;Минск;;375172;0
Беларусь;;Минск;;375173;0
Беларусь;;Минск;;375175;0
Беларусь;;;BeST;37525;1
Беларусь;;;MDC;375291;1
Беларусь;;;MDC;375293;1
Беларусь;;;MDC;375296;1
Беларусь;;;MDC;375299;1
Беларусь;;;MDC;37544;1
Беларусь;;;MTS;375292;1
Беларусь;;;MTS;375295;1
Беларусь;;;MTS;375297;1
Беларусь;;;MTS;375298;1
Беларусь;;;MTS;37533;1
Беларусь;;;Others;37529;1
Беларусь;;;Сервис;375609;1
Беларусь;;;OLO;3758600003;0
Беларусь;;;OLO;3758600001;0
Беларусь;;;OLO;3758600002;0
Беларусь;;;OLO;3758600000;0
Беларусь;;;MDC;3752960;1
Беларусь;;;MDC;3752910;1
Беларусь;;;MDC;3752930;1
Беларусь;;;MDC;3752990;1
Беларусь;;;MTS;37529739;1
Беларусь;;;MTS;37529549;1
Беларусь;;;MTS;37529719;1
Беларусь;;;MTS;37529799;1
Беларусь;;;MTS;37529789;1
Беларусь;;;MTS;37529579;1
Беларусь;;;MTS;37529759;1
Беларусь;;;MTS;37529729;1
Беларусь;;;;375290;1
Беларусь;;;;375294;1
Беларусь;;;специальные сервисы;37533344;0
Беларусь;;;специальные сервисы;37533357;0
Белиз;;;;501;0
Белиз;;;;5016;1
Бельгия;;;;32;0
Бельгия;;; Universal Access;3270;1
Бельгия;;;ИСС;3297461;0
Бельгия;;;ИСС;3297761;0
Бельгия;;;ИСС;3297861;0
Бельгия;;;ИСС;3297961;0
Бельгия;;;Base;3248;1
Бельгия;;;Belgacom (Proximus);32460;1
Бельгия;;;Belgacom (Proximus);3247;1
Бельгия;;; Mobistar;3249;1
Бельгия;;;Others;324630;1
Бельгия;;; Telenet;324681;1
Бельгия;;; Telenet;324682;1
Бельгия;;; Telenet;324683;1
Бельгия;;;роуминг Base;3248601;1
Бельгия;;; роуминг Belgacom (Proximus);324750;1
Бельгия;;;роуминг Mobistar;3249509;1
Бельгия;;;;3245;1
Бельгия;;;;32463;1
Бельгия;;;;324660;1
Бельгия;;;;324661;1
Бельгия;;;;324662;1
Бенин;;;;229;0
Бенин;;;;2299;1
Бермудские острова;;;;1441;0
Болгария;;;;359;0
Болгария;;;OLO;35924;0
Болгария;;;OLO;359349;0
Болгария;;;WiMax;35999;1
Болгария;;;ВТС;35987;1
Болгария;;;GloBul;35989;1
Болгария;;; Mobikom;35948;1
Болгария;;; Mobiltel;35988;1
Болгария;;;Others;35998;1
Болгария;;;роуминг ВТС;359878;1
Болгария;;;роуминг GloBul;359898;1
Болгария;;;роуминг Mobiltel;359880;1
Болгария;;София;;3592;0
Болгария;;;Специальные сервисы;3598829;1
Болгария;;;Mobiltel;359989;1
Болгария;;;Mobiltel;359988;1
Болгария;;;;359179;1
Болгария;;;специальные сервисы;35988154;0
Боливия;;;;591;0
Боливия;;;;59160;1
Боливия;;;;59165;1
Боливия;;;;59167;1
Боливия;;;;5917;1
Босния и Герцеговина;;;;387;0
Босния и Герцеговина;;; ВН Telecom;38761;1
Босния и Герцеговина;;; ВН Telecom;38762;1
Босния и Герцеговина;;;Eronet;38763;1
