Страна;Регион;Город;Оператор;Коды;Тип (моб - 1, стационарный - 0)
MTT Global Networks;;;MTT;883140,8831403,88314073,88314072,88314071;0
Voxbone Global Networks;;;Voxbone;8835100;0
Абхазия;;;;7840;0
Абхазия;;;Aquafon;79409;1
Абхазия;;;Others;7940;1
Абхазия;;;А-Моб.;79407;1
Австралийская Антарктическая территория;;;;672;0
Австралия;;;;61;0
Австралия;;;Global Satelite Mobile;6114;1
Австралия;;;;611,614;1
Австралия;;;;6173,61870,61874,6128,6172,61873,61882,6193,61871,6194,6129,6163,61883,61261,6154,61872,6192,6152,6153,6164,6165,61881,61884,61262,6162;0
Австралия;;;специальные сервисы;6113;0
Австрия;;;;43;0
Австрия;;Вена;;431;0
Австрия;;;Connect One;43681,43699;1
Австрия;;; Mobilkom;43644,43664,43680,43688,4369988,4369989;1
Австрия;;;Others;43711,43720,43730,43740,43780,43810,43820;1
Австрия;;;Telering;43650;1
Австрия;;;T-Mobile;43676,43677;1
Австрия;;; роуминг Connect One;4369900;1
Австрия;;;роуминг Mobilkom;436640;1
Австрия;;;роуминг Telering;436500;1
Австрия;;;роуминг T-Mobile;436760;1
Австрия;;;роуминг 3G;436600;1
Австрия;;; 3G;43660,43678;1
Австрия;;;;43661;1
Австрия;;;3G;4367833,4367890,4367891;1
Азербайджан;;;;994;0
Азербайджан;;Баку;;99412;0
Азербайджан;;;Azercell;99450,99451;1
Азербайджан;;;Azerfon;99470,99477;1
Азербайджан;;; Backcell;99455;1
Азербайджан;;;Catel;99440;1
Азербайджан;;;Others;99444,9945,99460;1
Азербайджан;;;роуминг Azercell;994508;1
Азербайджан;;;роуминг Azerfon;9947020;1
Азербайджан;;;Azerfon;994700;1
Азербайджан;;;Bakcell;994550;1
Азербайджан;;;специальные сервисы;99488,9949;0
Албания;;;;355;0
Албания;;;OLO;3554249,3554250,3554251,3554252;1
Албания;;;Интерактивное ТВ;355346,355355,355511,355559;1
Албания;;;Eagle;35567;1
Албания;;;PLUS;35566;1
Албания;;;прочие;35568,35569;1
Албания;;;Тирана;3554;1
Албания;;;AMC;355680;1
Албания;;;специальные сервисы;35552450,35545751,35545750;0
Алжир;;;;213;0
Алжир;;;Algeria Telecom;21366,21369;1
Алжир;;;Orascom;21377,21379;1
Алжир;;;Others;2136,21396,21398;1
Алжир;;;Wataniya;2135;1
Алжир;;;Orascom;213780;1
Алжир;;;;2137,2139;1
Американская Самоа;;;;1684;0
Американские Виргинские острова;;;;1340;0
Ангилья;;;;1264;0
Ангола;;;;244;0
Ангола;;;;2449;1
Ангола;;;Мовисел;24491;1
Ангола;;;Юнител;24492,24493;1
Андорра;;;;376;0
Андорра;;;;3763,3764,3765,3766;1
Антигуа и Барбуда;;;;1268;0
Аргентина;;;;54;0
Аргентина;;Буэнос Айрес;;5411;0
Аргентина;;;;549;1
Армения;;;;374;0
Армения;;Ереван;;37410;0
Армения;;;ArmenTel;37491,37492,37499;1
Армения;;;Orange;37455,37495;1
Армения;;;Others;3749;1
Армения;;;VivaCell;37477,37493,37494,37498;1
Армения;;;роуминг ArmenTel;374910,3749144;1
Армения;;;роуминг Orange;3749597;1
Армения;;;роуминг VivaCell;3749329;1
Армения;;;прочие;3744,3746037;1
Армения;;;внегеографические;37460;0
Аруба;;;;297;0
Аруба;;;;29756,29759,29760,29762,29766,29769,29773,29774,2979;1
Аруба;;;;29763,29764;1
Афганистан;;;;93;0
Афганистан;;;Afghan Telecom;9375;1
Афганистан;;;AWCC;9370;1
Афганистан;;; Etisalat;9378;1
Афганистан;;;MTN;9377;1
Афганистан;;;Others;937;1
Афганистан;;;Roshan;9379;1
Багамы;;;;1242;0
Бангладеш;;;;880;0
Бангладеш;;;;8801;1
Барбадос;;;;1246;0
Барбадос;;;;124623,124624,124625,124626,124644,124645,124652,124653,124682,124683;1
Барбадос;;;;124684,124685;1
Бахрейн;;;;973;0
Бахрейн;;;;973136,97333,97334,97336,973377,973383,973388,97339,973663,973666,97377;1
Беларусь;;;;375;0
Беларусь;;;IFS;375800;1
Беларусь;;;Telemalic services;375602;1
Беларусь;;Минск;;375172,375173,375175;0
Беларусь;;;BeST;37525;1
Беларусь;;;MDC;375291,375293,375296,375299,37544;1
Беларусь;;;MTS;375292,375295,375297,375298,37533;1
Беларусь;;;Others;37529;1
Беларусь;;;Сервис;375609;1
Беларусь;;;OLO;3758600003,3758600001,3758600002,3758600000;0
Беларусь;;;MDC;3752960,3752910,3752930,3752990;1
Беларусь;;;MTS;37529739,37529549,37529719,37529799,37529789,37529579,37529759,37529729;1
Беларусь;;;;375290,375294;1
Беларусь;;;специальные сервисы;37533344,3753336;0
Белиз;;;;501;0
Белиз;;;;5016;1
Бельгия;;;;32;0
Бельгия;;; Universal Access;3270;1
Бельгия;;;ИСС;3297461,3297761,3297861,3297961;0
Бельгия;;;Base;3248;1
Бельгия;;;Belgacom (Proximus);32460,3247;1
Бельгия;;; Mobistar;3249;1
Бельгия;;;Others;324630;1
Бельгия;;; Telenet;324681,324682,324683;1
Бельгия;;;роуминг Base;3248601;1
Бельгия;;; роуминг Belgacom (Proximus);324750;1
Бельгия;;;роуминг Mobistar;3249509;1
Бельгия;;;;3245,32463,324660,324661,324662;1
Бенин;;;;229;0
Бенин;;;;2299;1
Бермудские острова;;;;1441;0
Болгария;;;;359;0
Болгария;;;OLO;35924,359349;0
Болгария;;;WiMax;35999;1
Болгария;;;ВТС;35987;1
Болгария;;;GloBul;35989;1
Болгария;;; Mobikom;35948;1
Болгария;;; Mobiltel;35988;1
Болгария;;;Others;35998;1
Болгария;;;роуминг ВТС;359878;1
Болгария;;;роуминг GloBul;359898;1
Болгария;;;роуминг Mobiltel;359880;1
Болгария;;София;;3592;0
Болгария;;;Специальные сервисы;3598829;1
Болгария;;;Mobiltel;359989,359988;1
Болгария;;;;359179;1
Болгария;;;специальные сервисы;35988154;0
Боливия;;;;591;0
Боливия;;;;59160,59165,59167,5917;1
Босния и Герцеговина;;;;387;0
Босния и Герцеговина;;; ВН Telecom;38761,38762;1
Босния и Герцеговина;;;Eronet;38763;1
Босния и Герцеговина;;;Others;3876;1
Босния и Герцеговина;;;Telekom Srpske;38765,38766;1
Босния и Герцеговина;;; роуминг ВН Telecom;3876112;1
Босния и Герцеговина;;;роуминг Eronet;3876330,3876339;1
Босния и Герцеговина;;;роуминг Telekom Srpske;3876550;1
Босния и Герцеговина;;;HT Mostar;3873049,3873065,3873071,38733901,3873631,3873632,3873634,3873635,3873639,3873682,3873689,3873970,3873079,38751901,3873070,3873288,38735901,3873633,3873638,3873677,3873688,3873966,3873967,387497,3873064,3873080,3873087,3873289,3873644,3873664,3873681,3873686,38737901,3873969,387317,3873678,3873971,3873984,3873985,3873968,3873073,38733648,3873637,3873665,3873685,3873938,38734,3873680,3873687,3873983;0
Босния и Герцеговина;;;Srpske;387543,3875490,38754914,3875494,38755,38758,38750,3875492,3875493,387492,38754916,3875497,3875499,38759,387494,387540,387548,38754913,3875496,387493,38751,387546,3875495,3875498,38756,38752,387541,387542,387547,38754910,38754919,38753,387545,38754915,38754917,38757,387544,38754912,38754918;0
Босния и Герцеговина;;;BH Telecom;3876032,3876034,3876039,3876031,3876033,3876038;1
Босния и Герцеговина;;;Eronet;38764;1
Босния и Герцеговина;;;Telekom Srpske;38767;1
Босния и Герцеговина;;;специальные сервисы;387369113,387369111,387369114,387369112,387369115;0
Ботсвана;;;;267;0
Ботсвана;;;;2677;1
Бразилия;;;;55;0
Бразилия;;;;55116,55117,55118,55119,55126,55127,55128,55129,55136,55137,55138;1
Бразилия;;;;55139,55146,55147,55148,55149,55156,55157,55158,55159;1
Бразилия;;;;55166,55167,55168,55169,55176,55177,55178,55179;1
Бразилия;;;;55186,55187,55188,55189,55196,55197,55198,55199;1
Бразилия;;;;55216,55217,55218,55219,55226,55227,55228,55229;1
Бразилия;;;;55236,55237,55238,55239,55246,55247,55248,55249;1
Бразилия;;;;55256,55257,55258,55259,55266,55267,55268,55269;1
Бразилия;;;;55276,55277,55278,55279,55286,55287,55288,55289;1
Бразилия;;;;55296,55297,55298,55299,55316,55317,55318,55319;1
Бразилия;;;;55326,55327,55328,55329,55336,55337,55338,55339;1
Бразилия;;;;55346,55347,55348,55349,55356,55357,55358,55359;1
Бразилия;;;;55366,55367,55368,55369,55376,55377,55378,55379;1
Бразилия;;;;55386,55387,55388,55389,55396,55397,55398,55399;1
Бразилия;;;;55416,55417,55418,55419,55426,55427,55428,55429;1
Бразилия;;;;55436,55437,55438,55439,55446,55447,55448,55449;1
Бразилия;;;;55456,55457,55458,55459,55466,55467,55468,55469;1
Бразилия;;;;55476,55477,55478,55479,55486,55487,55488,55489;1
Бразилия;;;;55496,55497,55498,55499,55516,55517,55518,55519;1
Бразилия;;;;55526,55527,55528,55529,55536,55537,55538,55539,;1
Бразилия;;;;55546,55547,55548,55549,55556,55557,55558,55559;1
Бразилия;;;;55566,55567,55568,55569,55576,55577,55578,55579;1
Бразилия;;;;55586,55587,55588,55589,55596,55597,55598,55599;1
Бразилия;;;;55616,55617,55618,55619,55626,55627,55628,55629;1
Бразилия;;;;55636,55637,55638,55639,55646,55647,55648,55649;1
Бразилия;;;;55656,55657,55658,55659,55666,55667,55668,55669;1
Бразилия;;;;55716,55717,55718,55719,55726,55727,55728,55729;1
Бразилия;;;;55736,55737,55738,55739,55746,55747,55748,55749;1
Бразилия;;;;55756,55757,55758,55759,55766,55767,55768,55769;1
Бразилия;;;;55776,55777,55778,55779,55786,55787,55788,55789;1
Бразилия;;;;55796,55797,55798,55799,55816,55817,55818,55819;1
Бразилия;;;;55826,55827,55828,55829,55836,55837,55838,55839;1
Бразилия;;;;55846,55847,55848,55849,55856,55857,55858,55859;1
Бразилия;;;;55866,55867,55868,55869,55876,55877,55878,55879;1
Бразилия;;;;55886,55887,55888,55889,55896,55897,55898,55899;1
Бразилия;;;;55916,55917,55918,55919,55926,55927,55928,55929;1
Бразилия;;;;55936,55937,55938,55939,55946,55947,55948,55949;1
Бразилия;;;;55956,55957,55958,55959,55966,55967,55968,55969;1
Бразилия;;;;55976,55977,55978,55979,55986,55987,55988,55989;1
Бразилия;;;;55996,55997,55998,55999;1
Бразилия;;Рио-де-Жанейро;;5521;0
Бразилия;;Сан-Паулу;;5511;0
Бразилия;;Белу Оризонти;;5531;0
Бразилия;;;;55115027,55115047,55115059,55115106,55115114,55115116,5511512,55115170,55115173,55115175,55115194,55115196,55115197,551152,55679,55115024,55115107,55115109,55115119,55115199,551153,55115520,55115540,55115554,55115810,55115900,55115930,5511598,55678,55697,55115075,55115104,55115174,55115190,55115192,55115195,551154,55115551,55676,55698,55115020,55115023,55115028,55115179,55115193,55115552,5511580,55115813,55677,55687,55689,55115025,55115038,55115048,55115108,55115113,55115118,55115172,55115176,55115500,55115550,5511591,55115936,55115937,5511594,55688,55696,55115026,55115057,55115064,55115076,55115100,55115117,5511513,55115178,55115198,55115815,55115901,55115902,55115903,55115905,55115935,5511595,5511599,55115030,55115037,55115101,55115039,55115040,55115043,55115050,5511514,5511515,5511516,55115177,55115530,551157,5511596,55686,55699;1
Бразилия;;Сан-Паулу;;55115212,5511521;0
Британские Виргинские острова;;;;1284;0
Бруней;;;;673;0
Бруней;;;;67371,6738;1
Буркина Фасо;;;;226;0
Буркина Фасо;;;Интерактивное ТВ;22650;0
Буркина Фасо;;;;2267;1
Бурунди;;;;257;0
Бурунди;;;;25729,2577;1
Бурунди;;;Спец.сервисы;2577485;0
Бутан;;;;975;0
Вануату;;;;678;0
Ватикан;;;;379;0
Великобритания;;;;44;0
Великобритания;;;NTS 844;44844;1
Великобритания;;;NTS 845;44845;1
Великобритания;;;NTS 870;44870;1
Великобритания;;;NTS 871;44871;1
Великобритания;;;PNS;4470,4476,449;1
Великобритания;;; ИСС;448999;0
Великобритания;;;Hi3G (Hutchison);447400,447401,447402,447403,447533,447575,447576;1
Великобритания;;;Hi3G (Hutchison);447577,447578,447588,447723,447727,447728,447735;1
Великобритания;;;Hi3G (Hutchison);447737,447828,447830,447832,447838,447846,447848;1
Великобритания;;;Hi3G (Hutchison);447853,447859,447861,447862,447863,447865,447868,;1
Великобритания;;;Hi3G (Hutchison);447869,447877,447878,447882,447883,447886,447888;1
Великобритания;;;Hi3G (Hutchison);447897,447898,447915,447916,447988;1
Великобритания;;;Orange;447527,447528,447529,447530,447531,4475320,4475321;1
Великобритания;;;Orange;4475322,4475323,4475324,447536,447556,447579,447580;1
Великобритания;;;Orange;447581,447582,447583,447772,447773,447779,447790;1
Великобритания;;;Orange;447791,447792,447794,447800,447805,447807,447811;1
Великобритания;;;Orange;447812,447813,447814,447815,447816,447817,447837;1
Великобритания;;;Orange;447954,447855,447866,447870,447875,447890,447891;1
Великобритания;;;Orange;447896,447929,447964,447965,447966,447967,447968;1
Великобритания;;;Orange;447969,447970,447971,447972,447974,447977,447980,447989;1
Великобритания;;;Others;447,448;1
Великобритания;;;О2;44751,447521-447523,447525,447526,44754,44756,44759;1
Великобритания;;;О3;447701-447716,447718-447720,447724,447725,447729-447732;1
Великобритания;;;О4;447734,447736,447738-447740,447742,447743,447745;1
Великобритания;;;О5;447746,447749-447754,447756,447759,447761-447874;1
Великобритания;;;О6;447885,447889,447892-447895,447902,447907,447912;1
Великобритания;;;О7;447921-447923,447925-447928,447933-447936,447938;1
Великобритания;;;О8;447955,4479997764,447783,447784,447793,447801;1
Великобритания;;;О9;447803,447808,447809,447819-447821,447834,447835;1
Великобритания;;;О10;447840-447845,447849-447851,447856-447858,447860,447864,447871;1
Великобритания;;;T-Mobile;447504-447508,447534,447535,447538,447539,447550;1
